canto	lineStart	lineEnd	circle	shortDescript	motion	threshold	object	speech	objectType	objectNumber	distribution	rows	radiusEnd	radiusStart	ychange	HSLlightHigh	HSLlightLow	HSLsat	HSLhue	danteTheta	thetaSpread	thetaStart	thetaGapStart	thetaGapEnd	dotSize	dots		
10	52	72	6	Cavalcante (in the same Tomb)	0		1		Soul	1	rows	1	0	3	0.5	0.4	0	1	0.11	1.3	0	1.33			0.35	1		
10	73	93	6	Farinata's family and Florence	0		0		Soul																			
10	94	108	6	Souls's knowledge of the present	0		0		Soul																			
10	109	114	6	Dante's apology	0		0		Dante																			
10	115	123	6	Other Souls in the Tomb	0		1		Souls	m	rows	2	1	2.7	0	0.4	0.3	1	0.11	1.3	0.02	1.5			0.3	14		
10	124	136	6	Toward the Seventh Circle	1	0	0		Dante																			
11	1	15	6	Tomb of Pope Anastasius	0		1		Soul	1	rows	1	0	5	0	0.46	0	1	0.11	0.2	0	0.2			0.75	1		
11	16	66	6	Virgil on the Lowest Circles	0		0		Virgil																			
11	67	90	6	Virgil on Upper Hell	0		0		Virgil																			
11	91	115	6	Virgil on Usury	0		0		Virgil																			
12	1	12	7	Descent of Sight of the Minotaur	1	1	0		Demon																			
12	13	27	7	The Minotaur	1	1	1		Demon	1	rows	1	0	0.5	0	0.3	0	1	0.02	0.5	0	0.5			0.6	1		
12	28	45	7	The Rockslide	1	1	0		Architecture																			
12	46	54	7	Phlegethon (River of Blood)	1		0		Architecture																			
12	55	66	7	The Centaurs	1		1		Demons	m	rows	2	2	2	0	0.3	0.12	1	0.02	6	6	6			0.5	80		
12	67	75	7	"Nessus, Chiron, Pholus (Centaurs)"	1		1		Demons	3																		
12	76	90	7	Chiron sees Dante is alive	0		0		Demons																			
12	90	102	7	Nessus assigned to protect them	0		0		Demons																			
12	103	114	7	Souls in River (Violence to Others)	1		1		Souls 	4																		
12	115	117	7	River up to their heads	0		1		Souls 	m	scatter	2	3	2	0	0.15	0.25	0.89	0.1	1.2	6	3			0.4	97		
12	118	120	7	Guy de Montfort	0		1		Soul	1																		
12	121	126	7	Crossing on Nessus's back	1		0		Dante																			
12	127	139	7	Other Souls in the River	1		1		Souls	5																		
13	1	9	7	The Forest (Violence to Self)	1		1		Souls	m																		
13	10	15	7	The Harpies	1		1		Demons	m																		
13	16	30	7	Lamentations of the Trees	1		0		Souls																			
13	31	54	7	Pier delle Vigne	0		1		Soul	1																		
13	55	78	7	Pier's oration	0		0		Soul																			
13	79	90	7	Virgil's questions	0		0		Virgil																			
13	91	108	7	Pier's answers	0		0		Soul																			
13	109	123	7	The Spendthrifts (Jacopo)	0		1		Souls	2	114	117																
13	124	129	7	The Dogs	0		1		Demons	4	Dogs																	
13	130	151	7	The Broken Bush			1		Soul	1																		
14	1	3	7	The Broken Bush	0		0		Soul																			
14	6	18	7	Crossing to the Third Ring	1	1	0		Dante																			
14	19	42	7	The Violent Against God	0	0	1		Souls	m	interior ring																	
14	43	60	7	Capaneus	0	0	1		Soul	1	46	48																
14	61	72	7	Virgil to Capaneus	0	0	0		Virgil																			
14	73	93	7	River of blood			1		Architecture		76	78																
14	94	111	7	The Old Man of Crete			0		Virgil																			
14	112	135	7	The Rivers of Hell			0		Virgil																			
14	136	142	7	Lethe			0		Virgil																			
15	1	15	7	Dante and Virgil Continue On	1		0		Dante																			
15	16	21	7	Group of Souls	1		1		Souls	7																		
15	22	124	7	Brunetto Latini	1		1		Soul	1																		
16	1	27	7	Three Souls	1		1		Souls	3	4	6																
15	28	45	7	Iacopo Speaks	0		0		Soul																			
16	46	63	7	Dante's response	0		0		Dante																			
16	64	72		Iacopo's question	0		0		Soul																			
16	73	87		Dante's reply and their parting words	0		0		Dante																			
16	88	105	7	The Waterfall	1	1	1		Architecture	1	103	105																
16	106	114	7	Cord tossed into the abyss	0	1	0		Dante																			
16	115	136	7	Awaiting Geryon	0	1	0		Dante																			
17	1	27	7	Geryon	0	1	1		Demon	1																		
17	28	45	7	Descent to the Edge	1	1	0		Dante		"right turn, Dante and Virgil split"																	
17	46	78	7	Souls at the Edge (Usurers)	0	1	1		Souls	20																		
17	79	90	7	Virgil mounted on Geryon	1	1	0		Virgil		Dante returns to Virgil																	
17	91	99	7	Dante mounts Geryon	0	1	0		Dante																			
17	100	136	7	Descent on Geryon	1	1	0		Demon																			
18	1	21	8	Entry to Malebolge	1	1	0		Dante																			
18	22	33	8.1	Panderers	1		1		Souls	m	one row moving left to right	25	27	fast														
18	34	39	8.1	Horned Demons	1		1		Demons	13	above on edges	for both rows																
18	40	66	8.1	Venedico Caccianemico	1		1		Soul	1	Dante leaves Virgil during this																	
18	67	81	8.1	Seducers 	1		1		Souls	m	inner row moving right to left																	
18	82	99	8.1	Jason	1		1		Soul	1	row																	
18	100	111	8.2	Crossing to the Second Ditch	1		0		Dante																			
18	112	114	8.2	Flatterers	1		1		Souls	m	scatter																	
18	115	126	8.2	Alessio	1		1		Soul	1																		
18	127	136	8.2	Thais	1		1		Soul	1																		
19	1	21	8.3	Approacing the Simoniacs	1		0		Dante																			
19	22	30	8.3	Souls (Simoniacs)	1		1		Souls	m	scatter																	
19	31	45	8.3	Descent into the ditch	1		0		Dante																			
19	46	87	8.3	Pope Nicholas III	0		1		Soul	1																		
19	88	123	8.3	Dante's Invective	0		0		Dante																			
19	124	133	8.3	Virgil carries Dante to the next ridge	1		0		Virgil																			
20	1	24	8.4	The Diviners	0		1		Souls	m	"slow, scatter"																	
20	25	51	8.4	"Amphiaraus, Tiresias, Aruns"	0		1		Souls	3		40	42															
20	52	105	8.4	Manto	0		1		Soul	1																		
20	106	123	8.4	"Eurypylus, Michael Scot, and others"	0		1		Souls	7		115	117															
20	124	130	8.4	Time to move on	1		0		Dante																			
21	1	6	8.5	Arrival in Darkness			0		Dante																			
21	7	21	8.5	The Pitch			0		Architecture																			
21	22	33	8.5	A Devil (A Malebrache)	1		1		Demon	1																		
21	34	45	8.5	Sinner thrown in the pitch	1		1		Soul	1																		
21	45	57	8.5	The Malebrache	1		1		Demons	23																		
21	58	75	8.5	"Dante hides, Virgil to the Malebrache"			0		Dante																			
21	76	87	8.5	Malcoda (Leader)	1		1		Demon	1																		
21	88	105	8.5	Dante joins them	1		0		Dante																			
21	106	117	8.5	Malcoda lies about the bridges	0		0		Demon																			
21	118	139	8.5	Ten Malebrache escort them	1		1		Demons	10																		
22	1	15	8.5	Savage Company	1		0		Demons																			
22	16	30	8.5	Barrators in the pitch	1		1		Souls	m																		
22	31	63	8.5	Ciampolo caught out of the pitch	1		1		Soul	1																		
22	64	78	8.5	Virgil's questions while Ciampolo is punished					Virgil																			
